,facility_name,activity_date,service,violation_description,resource_code,location_1,address,:@computed_region_q3a8_eiwf,point,city
0,24 HOUR OPTCC,2018-04-04,111,Food contact surfaces: clean and sanitized,g,"{'human_address': '{""address"": ""37 77247295"", ""city"": """", ""state"": """", ""zip"": """"}'}","3500 E 9TH ST OAKLAND, CA 94601",,"37 46m 27.5542s N, 122 13m 50.3004s W",OAKLAND
1,SUMO SUSHI,2015-08-25,111,Proper hot and cold holding temperatures,y,"{'human_address': '{""address"": ""37 88781878"", ""city"": """", ""state"": """", ""zip"": """"}'}","977 SAN PABLO AVE ALBANY, CA 94706",,"37 53m 14.6019s N, 122 17m 52.4216s W",ALBANY
2,360 BAKERY & CAFE,2017-02-21,111,Signs posted last inspection report available,g,"{'human_address': '{""address"": ""37 49186373"", ""city"": """", ""state"": """", ""zip"": """"}'}","46529 MISSION BLVD FREMONT, CA 94539",,"37 29m 45.1054s N, 121 55m 22.2665s W",FREMONT
3,STARBUCKS COFFEE #5311,2014-07-30,111,"No rodents, insects, birds, or animals",g,"{'human_address': '{""address"": ""37 67911370"", ""city"": """", ""state"": """", ""zip"": """"}'}","1472 FIRST ST LIVERMORE, CA 94550",,"37 40m 44.4238s N, 121 46m 40.9705s W",LIVERMORE
4,7-ELEVEN FOOD STORE #14182,2014-03-18,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 63342346"", ""city"": """", ""state"": """", ""zip"": """"}'}","2175 ALDENGATE WAY HAYWARD, CA 94545",,"37 38m 0.0413286s N, 122 5m 50.6059s W",HAYWARD
5,7-ELEVEN FOOD STORE #17008,2017-04-28,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 69120769"", ""city"": """", ""state"": """", ""zip"": """"}'}","1240 MANOR BLVD SAN LEANDRO, CA 94578",,"37 41m 28.8731s N, 122 9m 6.67601s W",SAN LEANDRO
6,7-ELEVEN FOOD STORE #26596,2017-06-05,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 49151848"", ""city"": """", ""state"": """", ""zip"": """"}'}","46650 MOHAVE DR FREMONT, CA 94539",,"37 29m 30.3249s N, 121 55m 35.1737s W",FREMONT
7,85 DEGREES BAKERY CAFE,2016-11-08,111,Nonfood-contact surfaces clean,,"{'human_address': '{""address"": ""37 54962539"", ""city"": """", ""state"": """", ""zip"": """"}'}","35201 NEWARK BLVD V NEWARK, CA 94560",,"37 32m 10.2894s N, 122 1m 44.8885s W",NEWARK
8,88 BAO BAO,2019-04-24,111,Signs posted last inspection report available,g,"{'human_address': '{""address"": ""37 70416596"", ""city"": """", ""state"": """", ""zip"": """"}'}","3880 FALLON RD DUBLIN, CA 94568",,"37 42m 53.2768s N, 121 51m 11.47s W",DUBLIN
9,88 FOOD MARKET,2016-09-27,111,Impoundment,y,"{'human_address': '{""address"": ""37 71071491"", ""city"": """", ""state"": """", ""zip"": """"}'}","14405 E 14TH ST SAN LEANDRO, CA 94578",,"37 42m 38.7992s N, 122 8m 11.3949s W",SAN LEANDRO
10,8TH STREET CAFE,2013-06-24,131,Food separated and protected,g,"{'human_address': '{""address"": ""37 79918280"", ""city"": """", ""state"": """", ""zip"": """"}'}","337 8TH ST OAKLAND, CA 94607",,"37 47m 56.5514s N, 122 16m 15.8953s W",OAKLAND
11,99 CENTS ONLY STORE #217,2018-01-03,111,Food properly labeled & honestly presented,g,"{'human_address': '{""address"": ""37 68447824"", ""city"": """", ""state"": """", ""zip"": """"}'}","20882 MISSION BLVD HAYWARD, CA 94541",,"37 41m 3.04528s N, 122 5m 54.8911s W",HAYWARD
12,99 CENTS ONLY STORE #278,2014-03-06,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 80544420"", ""city"": """", ""state"": """", ""zip"": """"}'}","1440 7TH ST OAKLAND, CA 94607",,"37 48m 9.792s N, 122 16m 59.9822s W",OAKLAND
13,99 CENTS,2016-05-19,111,Plan Review,g,"{'human_address': '{""address"": ""37 63132763"", ""city"": """", ""state"": """", ""zip"": """"}'}","1114 W TENNYSON RD HAYWARD, CA 94544",,"37 37m 52.626s N, 122 4m 33.984s W",HAYWARD
14,99 RANCH MARKET #62,2019-03-28,111,Food contact surfaces: clean and sanitized,y,"{'human_address': '{""address"": ""37 57457981"", ""city"": """", ""state"": """", ""zip"": """"}'}","34444 FREMONT BLVD FREMONT, CA 94555",,"37 34m 31.2069s N, 122 2m 21.2413s W",FREMONT
15,99 RANCH MARKET,2014-08-18,111,Food contact surfaces: clean and sanitized,g,"{'human_address': '{""address"": ""37 57457485"", ""city"": """", ""state"": """", ""zip"": """"}'}","34444 FREMONT BLVD FREMONT, CA 94555",,"37 34m 31.2069s N, 122 2m 21.2413s W",FREMONT
16,99 RANCH MARKET,2015-01-13,111,Nonfood-contact surfaces clean,y,"{'human_address': '{""address"": ""37 57457981"", ""city"": """", ""state"": """", ""zip"": """"}'}","34444 FREMONT BLVD FREMONT, CA 94555",,"37 34m 31.2069s N, 122 2m 21.2413s W",FREMONT
17,ACTUAL CAFE,2019-05-06,111,Proper cooling methods,g,"{'human_address': '{""address"": ""37 84705141"", ""city"": """", ""state"": """", ""zip"": """"}'}","6334 SAN PABLO AVE OAKLAND, CA 94608",,"37 50m 48.5477s N, 122 17m 5.18496s W",OAKLAND
18,ADVANTAGE FOOD SAMPLING PROGRAM @ SAFEWAY #910,2018-04-19,111,Plan Review,g,"{'human_address': '{""address"": ""37 67931141"", ""city"": """", ""state"": """", ""zip"": """"}'}","1554 FIRST ST LIVERMORE, CA 94550",,"37 40m 49.6803s N, 121 46m 38.4638s W",LIVERMORE
19,AFC SUSHI @ SAFEWAY #910,2017-01-25,111,Proper hot and cold holding temperatures,g,"{'human_address': '{""address"": ""37 67931141"", ""city"": """", ""state"": """", ""zip"": """"}'}","1554 FIRST ST LIVERMORE, CA 94550",,"37 40m 49.6803s N, 121 46m 38.4638s W",LIVERMORE
